"Threat Type";"MatchType";"Threatened";"Flow From";"Data Flow";"Flow To";"Vulnerability";"Risk";"Risk (lower)";"Risk (upper)";"Risk (potential)";"Description";"LongDescription"
"Tampering: Data Loss By Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.75";"0.0001";"4.623";"0.75";"";""
"Tampering: Data Loss By Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7355";"0";"5.4018";"0.7355";"";""
"Tampering: Data Loss By Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7988";"0";"5.0073";"0.7988";"";""
"Tampering: Data Loss By Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7549";"0";"4.6262";"0.7549";"";""
"Elevation of Privilege: Priviledge Escalation";"";"VirtualMachine (EC2) - aws_instance.goat_instance";"";"";"";"1";"0.7389";"0";"4.2335";"0.7389";"";""
"Denial of Service: Denial of Service against a Data Store";"";"FileStorage (S3) - aws_s3_bucket.bucket_temp";"";"";"";"1";"0.7361";"0";"5.0538";"0.7361";"";""
"Information Disclosure: Data Breach By Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7272";"0.0001";"5.0348";"0.7272";"";""
"Information Disclosure: Data Breach By Cloud Application";"";"LoadBalancer (APIGateway) - aws_api_gateway_deployment.apideploy_ba";"";"";"";"1";"0.7467";"0";"4.7296";"0.7467";"";""
"Information Disclosure: Data Breach By Cloud Application";"";"IAM (IAM) - blog_app_lambda";"";"";"";"1";"0.7297";"0.0001";"4.7347";"0.7297";"";""
"Information Disclosure: Data Breach By Cloud Application";"";"ServerlessFunction (AwsLambda) - aws_lambda_function.lambda_ba_data";"";"";"";"1";"0.7437";"0";"4.9113";"0.7437";"";""
"Information Disclosure: Sensitive Data Leakage";"";"FileStorage (S3) - aws_s3_bucket.bucket_temp";"";"";"";"1";"0.7203";"0.0001";"5.2509";"0.7203";"";""
"Information Disclosure: Sensitive Data Leakage";"";"FileStorage (S3) - aws_s3_bucket.bucket_tf_files";"";"";"";"1";"0.7287";"0.0001";"4.4313";"0.7287";"";""
"Information Disclosure: Sensitive Data Leakage";"";"FileStorage (S3) - aws_s3_bucket_acl.dev";"";"";"";"1";"0.7562";"0";"6.0838";"0.7562";"";""
"Information Disclosure: Sensitive Data Leakage";"";"FileStorage (S3) - aws_s3_bucket.bucket_upload";"";"";"";"1";"0.7639";"0.0001";"5.6179";"0.7639";"";""
